,label,score
0,Neutral ,0.9982305171214918
1,Happy ,0.0016792273708236371
2,Sad ,7.650632867095054e-05
3,Surprise ,1.3573685665387414e-05
4,Fear ,1.2665913029516967e-07
5,Angry ,6.920027725251999e-09
6,Disgust ,7.647758833986209e-20
